Customer_ID,Age,Gender,Channel,Budget_Spent,Clicks,Conversions,Email_Open_Rate,Customer_Review
CUST_0001,20,Female,Facebook Ads,761,499,0,0.94,"Tidak puas, barang rusak saat diterima."
CUST_0002,46,Male,Instagram Ads,286,32,0,0.25,"Tidak puas, barang rusak saat diterima."
CUST_0003,52,Male,Facebook Ads,586,109,1,0.67,Harga cukup mahal dibanding kompetitor.
CUST_0004,56,Male,Instagram Ads,926,218,1,0.88,Harga sepadan dengan kualitas yang didapat.
CUST_0005,35,Male,Google Ads,157,409,0,0.07,"Sangat direkomendasikan, pengiriman cepat."
CUST_0006,37,Female,Email,717,9,0,0.77,Layanan purna jual kurang responsif.
CUST_0007,40,Female,Email,137,113,0,0.13,"Sangat direkomendasikan, pengiriman cepat."
CUST_0008,51,Male,Google Ads,67,181,0,0.87,"Sangat direkomendasikan, pengiriman cepat."
CUST_0009,50,Female,Facebook Ads,106,484,0,0.6,"Produk sangat bagus, saya puas sekali!"
CUST_0010,27,Male,Instagram Ads,915,256,1,0.2,"Sangat direkomendasikan, pengiriman cepat."
CUST_0011,50,Female,Instagram Ads,731,389,1,0.09,"Tidak puas, barang rusak saat diterima."
CUST_0012,50,Male,Email,884,452,0,0.8,Harga sepadan dengan kualitas yang didapat.
CUST_0013,43,Female,Email,189,472,1,0.18,Harga cukup mahal dibanding kompetitor.
CUST_0014,37,Female,Instagram Ads,469,416,0,0.9,Harga sepadan dengan kualitas yang didapat.
CUST_0015,32,Female,Google Ads,374,381,0,0.13,"Kualitas lumayan, sesuai dengan harga."
CUST_0016,54,Male,Instagram Ads,132,304,0,0.8,"Sangat direkomendasikan, pengiriman cepat."
CUST_0017,50,Female,Facebook Ads,125,378,0,0.43,"Produk sangat bagus, saya puas sekali!"
CUST_0018,34,Male,Instagram Ads,908,436,1,0.84,"Sangat direkomendasikan, pengiriman cepat."
CUST_0019,22,Male,Facebook Ads,322,489,1,0.74,"Kualitas lumayan, sesuai dengan harga."
CUST_0020,21,Male,Email,220,144,1,0.82,Produk ini melebihi ekspektasi saya.
CUST_0021,20,Male,Instagram Ads,141,22,1,0.47,Produk ini melebihi ekspektasi saya.
CUST_0022,38,Female,Instagram Ads,89,121,1,0.69,Harga cukup mahal dibanding kompetitor.
CUST_0023,57,Female,Facebook Ads,327,305,0,0.34,Produk ini melebihi ekspektasi saya.
CUST_0024,20,Female,Facebook Ads,753,55,1,0.09,"Sangat direkomendasikan, pengiriman cepat."
CUST_0025,38,Male,Facebook Ads,443,9,1,0.26,Harga sepadan dengan kualitas yang didapat.
CUST_0026,25,Male,Google Ads,410,419,0,0.05,Layanan purna jual kurang responsif.
CUST_0027,59,Male,Email,695,198,1,0.38,"Kualitas lumayan, sesuai dengan harga."
CUST_0028,53,Female,Instagram Ads,66,305,0,0.49,"Sangat direkomendasikan, pengiriman cepat."
CUST_0029,46,Female,Facebook Ads,381,63,0,0.07,Produk ini melebihi ekspektasi saya.
CUST_0030,56,Female,Instagram Ads,496,205,0,0.06,Produk ini melebihi ekspektasi saya.
CUST_0031,51,Male,Facebook Ads,759,390,0,0.67,Harga sepadan dengan kualitas yang didapat.
CUST_0032,39,Male,Email,540,342,0,0.14,Produk ini melebihi ekspektasi saya.
CUST_0033,48,Male,Google Ads,519,188,0,0.12,"Tidak puas, barang rusak saat diterima."
CUST_0034,45,Male,Instagram Ads,995,295,0,0.5,Produk ini melebihi ekspektasi saya.
CUST_0035,52,Female,Google Ads,129,432,0,0.7,"Tidak puas, barang rusak saat diterima."
CUST_0036,51,Male,Instagram Ads,245,157,0,0.93,"Kualitas lumayan, sesuai dengan harga."
CUST_0037,30,Female,Facebook Ads,970,276,0,0.32,"Kualitas lumayan, sesuai dengan harga."
CUST_0038,58,Female,Facebook Ads,82,318,1,0.16,"Kualitas lumayan, sesuai dengan harga."
CUST_0039,21,Male,Email,810,301,1,0.11,"Kualitas lumayan, sesuai dengan harga."
CUST_0040,23,Female,Facebook Ads,50,304,1,0.24,"Tidak puas, barang rusak saat diterima."
CUST_0041,18,Male,Google Ads,640,114,0,0.14,Produk ini melebihi ekspektasi saya.
CUST_0042,29,Male,Facebook Ads,177,152,0,0.05,"Produk sangat bagus, saya puas sekali!"
CUST_0043,52,Female,Email,194,63,0,0.31,"Produk sangat bagus, saya puas sekali!"
CUST_0044,28,Male,Facebook Ads,476,200,1,0.2,"Produk sangat bagus, saya puas sekali!"
CUST_0045,40,Male,Facebook Ads,491,377,1,0.07,"Kualitas lumayan, sesuai dengan harga."
CUST_0046,31,Male,Google Ads,196,292,0,0.37,Produk ini melebihi ekspektasi saya.
CUST_0047,36,Female,Google Ads,615,248,0,0.79,Harga cukup mahal dibanding kompetitor.
CUST_0048,54,Male,Instagram Ads,419,344,1,0.32,Layanan purna jual kurang responsif.
CUST_0049,33,Male,Email,388,452,1,0.69,"Tidak puas, barang rusak saat diterima."
CUST_0050,45,Male,Instagram Ads,645,299,0,0.71,"Produk sangat bagus, saya puas sekali!"
CUST_0051,48,Male,Facebook Ads,818,403,0,0.07,Produk ini melebihi ekspektasi saya.
CUST_0052,24,Male,Facebook Ads,264,406,0,0.92,"Kualitas lumayan, sesuai dengan harga."
CUST_0053,44,Female,Facebook Ads,705,203,0,0.18,"Produk sangat bagus, saya puas sekali!"
CUST_0054,34,Female,Facebook Ads,713,455,0,0.7,Layanan purna jual kurang responsif.
CUST_0055,24,Male,Facebook Ads,773,204,0,0.39,"Produk sangat bagus, saya puas sekali!"
CUST_0056,32,Male,Google Ads,241,289,1,0.83,Produk ini melebihi ekspektasi saya.
CUST_0057,57,Female,Google Ads,747,460,0,0.95,Harga sepadan dengan kualitas yang didapat.
